{5BBE9CB3-6332-4EB0-9CD3-8737CEA4A65A},42000,21/12/1995 00:00,NE4 9DN,S,N,F,8,,MATFEN PLACE,FENHAM,NEWCASTLE UPON TYNE,NEWCASTLE UPON TYNE,TYNE AND WEAR,A,A
{C0BDFE7A-A53F-4493-B458-B12F5347E605},700000,30/01/1995 00:00,SW3 4NG,T,N,F,27,,CHARLES II PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{7368E526-20B8-4361-A307-7B173A2A1244},460000,18/01/1995 00:00,SW3 4LW,F,N,L,13 - 16,FLAT 1,EMBANKMENT GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{E292B623-DBA9-4B51-B88A-7063ADFEE6BD},130000,02/11/1995 00:00,SW3 3PG,F,N,L,CURRAN HOUSE,FLAT 4,LUCAN PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{DD3D51E9-0DAA-4688-8DCC-CD8BC674CECB},324000,28/07/1995 00:00,W8 5QL,S,N,L,COTTESMORE COURT,FLAT 2,STANFORD ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{2DA48316-4213-4C6D-A1F9-A692306B218B},100000,23/10/1995 00:00,W10 5RS,F,N,L,"KEATS HOUSE, 34",FLAT 6,FARADAY ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{B3808456-9C0A-421D-B58B-ADA96865BAA8},108000,29/09/1995 00:00,W14 8HB,F,N,L,30,FLAT 1,ELSHAM ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{7D24A599-DB1D-4303-A490-B4BE21DF38E4},260000,16/06/1995 00:00,W10 5UJ,F,N,L,69A,,OXFORD GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{7BB36C11-CB46-43AD-B112-70689EC93BD3},375000,27/01/1995 00:00,SW3 4QQ,F,N,L,34,FLAT 3,ST LEONARDS TERRACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{F3355DD1-D527-4BF0-A378-8E764CC66ECB},160000,28/03/1995 00:00,SW7 5JP,F,N,L,60,BASEMENT FLAT,QUEEN'S GATE,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{3EE834D5-3C10-4350-81B1-B136ED1BF190},520000,08/08/1995 00:00,SW7 3RE,T,N,F,6,,ROLAND WAY,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{B1272304-A727-4512-ABBA-778875952F17},1750000,28/04/1995 00:00,W14 8EB,D,N,L,72,,ADDISON ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{42B0F907-03E4-4C41-B905-706A04836AB4},55000,07/06/1995 00:00,W11 4HE,F,N,L,24,,VERITY CLOSE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{599BB26F-FAB9-46FB-8F6B-CD91C50806EA},133000,07/04/1995 00:00,SW5 9TL,F,N,L,"NEVERN MANSIONS, 44",FLAT 25,WARWICK ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4BF78466-0D1D-4320-A160-77893057922B},100000,31/03/1995 00:00,SW10 9UX,F,N,L,MENTONE MANSIONS,FLAT 8,FULHAM ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{F1695BAC-BCDB-4519-8323-B138D8063F79},142000,26/06/1995 00:00,SW3 5PN,F,N,L,40,,CHELSEA TOWERS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{0AB979FA-FE8E-4FBD-925B-778CDDB8C469},583000,24/11/1995 00:00,SW3 6QB,T,N,F,20,,BURY WALK,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{B61A4480-E5B9-4333-A847-D12C5C5F0758},169500,17/01/1995 00:00,SW3 5AF,F,N,L,BEAUFORT MANSIONS,FLAT 66,BEAUFORT STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{B5120CCB-64D2-48FA-9227-7EB3C3BFB4D8},281530,07/07/1995 00:00,SW5 0ES,F,N,L,51,FLAT 2,BARKSTON GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{6892E9A0-7618-4C4E-A245-8E7F07BE64BD},63000,08/12/1995 00:00,W14 8HU,F,N,L,16,SECOND FLOOR FLAT,RUSSELL ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{8C2ECF6F-3EAC-4514-A7BF-8E800C45A49E},730000,06/10/1995 00:00,W11 3NF,T,N,F,13,,HORBURY CRESCENT,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{C08DBC1A-B339-4746-984B-D12ED7122AF9},135000,04/07/1995 00:00,SW3 5ET,F,N,L,"ALEXANDRA MANSIONS, 333",FLAT 31,KINGS ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{55B83800-5CDD-4214-9B8A-B4C8BC9423F1},197000,30/05/1995 00:00,W14 8RB,F,N,L,ST. MARY ABBOTS COURT,FLAT 42,WARWICK GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{6295338D-00DF-4598-94A1-7B266B14690D},900000,01/06/1995 00:00,SW3 2QF,T,N,F,26,BASEMENT,MILNER STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{384D6AEC-9B07-44F7-916B-D4AF9B28B92C},285000,20/06/1995 00:00,SW7 4AZ,F,N,L,79,THIRD AND FOURTH FLOOR FLAT,CORNWALL GARDENS,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{5BF8097C-AEF8-4BE7-8782-ADB7341402C5},210000,06/09/1995 00:00,SW7 3BD,F,N,L,21 - 23,FLAT 1,CRANLEY GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{DEFE8E19-C28A-4A3D-B9B3-73FEDCECB3F7},240000,19/10/1995 00:00,SW10 9JZ,F,N,L,8,FLAT 2,REDCLIFFE SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{BA34C049-6A85-4988-BCC2-87593732117C},75000,15/09/1995 00:00,SW3 3JP,F,N,L,SLOANE AVENUE MANSIONS,FLAT K11,SLOANE AVENUE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{350AE739-5E30-4624-8124-74087568C71D},115000,01/12/1995 00:00,W10 5AN,T,N,F,50,,SOUTHERN ROW,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4843D516-03A7-4265-9CCD-A6AC83C8CAA3},100000,04/04/1995 00:00,SW3 5QS,F,N,L,CHESIL COURT,FLAT 101,CHELSEA MANOR STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{94D6BEFB-1AE1-4952-80B7-B14AA41F316C},95000,08/03/1995 00:00,SW3 5BE,F,N,L,BURLEIGH HOUSE,FLAT 6,BEAUFORT STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{740742F8-66F5-410C-B2BD-A6AEFAA2FEDA},285000,29/11/1995 00:00,W8 5AE,F,N,L,Dec-14,FLAT 4,DE VERE GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{6C0A4066-DF34-46A9-8207-7B352E84FA32},270000,27/01/1995 00:00,SW7 4BA,F,N,L,74,FLAT 1,CORNWALL GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{18A78A84-4282-4B08-A106-8AEE8C736959},890000,16/06/1995 00:00,W11 3QU,T,N,F,14,,HOLLAND PARK AVENUE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{EFD5FDE4-A601-4862-9455-D4BE21BF31DB},281000,10/10/1995 00:00,W14 8ND,F,N,L,17,,PARK CLOSE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{5F166B18-3DE9-4BE8-A596-8E9241A6DA12},250000,27/09/1995 00:00,W11 3BG,T,N,F,6A,,LADBROKE GROVE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{7E9DB5F4-C617-43C2-9D22-D4C285197A52},175000,21/08/1995 00:00,SW5 9DJ,F,N,L,WETHERBY MANSIONS,FLAT 18,EARLS COURT SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{EA89A84B-D38C-4B24-80E8-D83BDE2B875C},430000,14/11/1995 00:00,W8 5UH,F,N,L,REDWOOD MANSIONS,FLAT 11,CHANTRY SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{0EB23BEF-BEEE-4D75-A5AE-D83C8B58A3CD},260000,10/05/1995 00:00,W8 6HR,D,N,F,1,,PEMBROKE GARDENS CLOSE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{C8C4D120-CAFE-430D-87DD-B4DC9D4724EF},743000,29/08/1995 00:00,W8 7NQ,F,N,L,17,FLAT 2,SHEFFIELD TERRACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{C945B9C0-DA2C-4E23-B61B-7B3AADE759C7},410050,23/06/1995 00:00,SW3 2DF,F,N,L,17,FLAT 1,EGERTON GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{E4EAA02C-3055-40E7-8D90-D83E012676BB},450000,29/09/1995 00:00,W11 4NJ,T,N,F,18,,PRINCEDALE ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{79E8AB83-B1CA-460A-8AA6-CDAC4D1A2C2D},300000,06/07/1995 00:00,SW3 5HN,F,N,L,"PIER HOUSE, 31",FLAT 108,CHEYNE WALK,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{68B95C66-0CC5-4AFA-97FF-ADCB0801E11B},84950,14/08/1995 00:00,SW10 9AH,F,N,L,160,SECOND FLOOR FLAT 3,FINBOROUGH ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{0B8003CC-A4E8-49C9-B6E6-70891A63B610},212000,19/09/1995 00:00,SW7 5JN,F,N,L,52,FLAT 1,QUEENS GATE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{6374384A-C266-41DD-B80C-83E7FDBFB1EA},90000,10/01/1995 00:00,SW7 5NX,F,N,L,13D,,QUEENS GATE PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{DB588740-0499-4F27-B5D5-B1556A3D3DC2},1230000,19/06/1995 00:00,W8 7BS,T,N,L,50,,ARGYLL ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{14787C3C-9ACB-4F9C-8195-922A6AC72339},910000,21/04/1995 00:00,SW5 0AQ,F,N,L,23,FLAT 1,BOLTON GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{E4FCDCDE-AC6C-4CAB-AA02-922B5DC92EB3},240000,24/07/1995 00:00,SW7 4HW,T,N,F,17,,OSTEN MEWS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{7288D2C1-D59A-40BD-B74C-8E9A7200E21A},75000,04/01/1995 00:00,SW3 3AX,F,N,L,NELL GWYNN HOUSE,FLAT 139,SLOANE AVENUE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{C8361A86-DD70-41DC-9E73-8AFA2B4FA4E5},110500,23/08/1995 00:00,SW3 5JB,S,N,F,72,,GLEBE PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{5FF03251-B6AB-4F61-BEF8-7B41CF293A72},255000,07/04/1995 00:00,SW10 0AD,F,N,L,6A,,PARK WALK,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{E9AD370A-C697-4B08-B4BD-AA4146D97A46},180000,17/07/1995 00:00,W14 8RB,F,N,L,ST. MARY ABBOTS COURT,FLAT 65,WARWICK GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{A3C59807-9D6E-4C51-97D1-A6C0DDCBBF15},860000,10/11/1995 00:00,SW3 4XA,T,N,F,47,,MARKHAM SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{DF8D002B-3691-462C-96B9-F875A62C594A},240000,05/01/1995 00:00,SW1X 9AG,F,N,L,SLOANE GATE MANSIONS,FLAT 4,DOYLEY STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{D8498EE1-4BF6-495D-B082-A6C5253D0DD6},62500,24/03/1995 00:00,W8 6QL,F,N,L,"COURTLEIGH, 126",FLAT 7,EARLS COURT ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{E6CF0D6B-A5BE-44FA-9435-F4FA5F2F5A6A},299000,04/08/1995 00:00,SW7 3BE,F,N,L,25 - 27,FLAT 7,EVELYN GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{DA880E92-7777-4D3F-BB9F-F4FBA5C4BFC9},99000,06/06/1995 00:00,SW7 3PL,F,N,L,32,FLAT 1,ROLAND GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{8227C1BC-8151-4945-9D7E-B162A8C9891A},125000,06/01/1995 00:00,W8 4LY,T,N,L,3A,,DRAYSON MEWS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{FF13BC43-35D8-4333-8A78-B1632AF0C30E},1275000,08/11/1995 00:00,W8 5UE,T,N,F,9,,ST MARYS PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{565457AD-0F7D-4054-B37F-AA47B8DD6775},1500000,30/06/1995 00:00,W11 4JD,S,N,F,49,,CLARENDON ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{43D3157B-E5EF-4297-9B8F-74223BC7A16F},248937,24/04/1995 00:00,W8 7PU,F,N,L,"PALMERSTON HOUSE, 60",FLAT 36,KENSINGTON PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{25B897C2-BF18-4CDD-A74C-ADDCBF70F176},160000,10/07/1995 00:00,SW5 0TR,T,N,F,27,,EARLS COURT GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{9A329DF4-13E5-4EEF-8F32-F87D302458EE},158000,11/08/1995 00:00,SW3 5AF,F,N,L,BEAUFORT MANSIONS,FLAT 80,BEAUFORT STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{AEC23A07-2A3D-4AAD-9D1A-7B4D4FB8965D},150000,28/04/1995 00:00,W8 4PD,F,N,L,"OLD COURT HOUSE, 24",FLAT 13,OLD COURT PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{EB6F78EE-AB7B-45DA-8DFC-7EDBCA356855},54665,24/07/1995 00:00,SW5 9QR,F,N,L,WARWICK MANSIONS,FLAT 13,CROMWELL CRESCENT,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{E4493CE7-00F4-4A0C-BE1F-77BA59928264},90000,09/08/1995 00:00,SW3 6BU,F,N,L,122,GROUND FLOOR FLAT,BEAUFORT STREET,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{9F3283F1-0D04-44C9-8CA8-A6CA6B1C03FF},76250,15/05/1995 00:00,SW3 3AU,F,N,L,NELL GWYNN HOUSE,4,,HILL AVENUE,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{F05EF7A9-F13D-4E65-BFC2-F5022C17DDC8},126000,01/03/1995 00:00,SW10 9JE,F,N,L,47,FLAT 4,CATHCART ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{2FE5AC9A-6523-454F-A78F-AA4E1B784B9C},54712,13/03/1995 00:00,SW5 9SF,F,N,L,57D,,LONGRIDGE ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{6D32E410-2577-412C-912B-B1692B7D0345},58000,20/10/1995 00:00,SW5 0TR,T,N,L,30A,,EARLS COURT GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{E460DB7D-1F20-4DAE-A027-FC0ABCAEFE36},250000,25/08/1995 00:00,SW1X 0DB,F,N,L,19,FLAT C,LENNOX GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{543603C0-17DD-4869-A296-F884F2B5F51F},330000,14/12/1995 00:00,SW3 1PU,F,N,L,6,FLAT 4,BEAUFORT GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{783B1783-DB78-4590-B5B1-B4FA95B39114},265000,01/09/1995 00:00,W11 1DF,T,N,F,8,,ST LUKES MEWS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{997E9A77-3F21-44DD-8DCF-AA550222FC8F},210000,05/05/1995 00:00,SW7 4HH,F,N,L,4,FLAT 6,EMPERORS GATE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{3EEC0CFD-8465-4EFB-BCBA-70A41458C3E6},134000,17/03/1995 00:00,SW5 9PP,F,N,L,34,FLAT 3,NEVERN PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{EDD5EF9D-8135-4D54-A6E5-FC0FB05F6A20},2600000,16/01/1995 00:00,SW10 9TB,S,N,F,2,,THE BOLTONS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{F068A4DC-02D9-4AEC-9080-8EB3BFF8FA6F},59000,27/02/1995 00:00,SW5 9DN,F,N,L,14,,EARLS COURT SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{E4498956-A9C7-4203-847C-8404A0307BC2},115000,16/11/1995 00:00,W11 2HE,F,N,L,88C,,LADBROKE GROVE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{EC5981CF-353B-40F6-9C0E-F17F10B7A99E},73000,29/08/1995 00:00,W14 8HT,F,N,L,45,FLAT 1,RUSSELL ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{F2F2FEAF-5F7F-4721-B27E-8B147B6C54B1},90000,03/10/1995 00:00,SW7 5LJ,F,N,L,124,FLAT 1,QUEENS GATE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{D89EBA33-A31E-4511-8A41-B178689EA6C8},73000,30/11/1995 00:00,W14 8HT,F,N,L,41,FLAT 4,RUSSELL ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{F32A2A01-B432-4B63-A6BD-F183D57CC138},190000,12/10/1995 00:00,SW10 0DA,F,N,L,"ELIZABETH COURT, 47",FLAT 26,MILMANS STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{F2AEA118-1092-4C6B-87D5-B50340796A8E},389000,01/05/1995 00:00,W8 4BY,F,N,L,76,FLAT 1,KENSINGTON CHURCH STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{6A99935D-7217-4464-AADB-ADF02FDFCC5D},545000,31/10/1995 00:00,W14 8EL,T,N,F,67,,ABBOTSBURY ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{D91493F8-4C89-4CCC-93F7-B1799B6AC170},130000,22/09/1995 00:00,SW3 6SH,F,N,L,"PELHAM COURT, 145",FLAT 36,FULHAM ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{8DAC9508-FDB6-40E0-8FE8-7B5EB5130AE0},172000,15/09/1995 00:00,SW10 9BT,F,N,L,1,FLAT 4,WESTGATE TERRACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{2ABAE1A9-FD66-41C2-B8AC-F51395883F06},188000,31/03/1995 00:00,SW7 4ND,F,N,L,16,A,WETHERBY PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4C0F0549-0429-449D-86F4-8B1AF488AF34},187500,18/01/1995 00:00,SW10 9JX,F,N,L,11,FLAT E,REDCLIFFE SQUARE,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{F728B8D7-FC63-48B3-9184-8EC19391C856},380000,30/06/1995 00:00,W11 4QX,T,N,F,28,,PENZANCE STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{90CA3365-19C7-4D8D-99E0-8B1E23978DD7},270000,31/07/1995 00:00,SW5 0ER,F,N,L,27A,,BARKSTON GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{46AEBF09-B630-4B94-9FB4-AA63E217E749},132000,29/09/1995 00:00,W2 4NA,F,N,L,06-Aug,FLAT 8,CLANRICARDE GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{D3AE7E07-7D75-4CD6-B975-77D0A53EFF62},179000,09/06/1995 00:00,W11 2QT,F,N,L,41,BASEMENT FLAT,KENSINGTON PARK GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{72036C17-F138-4D93-BDBC-7EF2867A1D72},278000,24/03/1995 00:00,W14 8LP,F,N,L,2,LOWER GROUND FLOOR FLAT,MELBURY ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{3B3F7464-C71E-4D72-BD6B-743F120B83F2},508250,22/12/1995 00:00,W8 5UW,F,N,L,SYCAMORE LODGE,FLAT 21,STONE HALL PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{986C3331-B2E7-47B0-B10E-8B232614C665},173500,06/03/1995 00:00,W10 6NE,T,N,F,145,,OXFORD GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{2170397B-9CAF-4759-8F4B-8EC92D48B0CC},75000,03/04/1995 00:00,W11 1EA,F,N,L,221,FLAT 2,WESTBOURNE PARK ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{BDDEB439-EF3E-4DC2-A19E-925CF72EFCF0},580003,25/01/1995 00:00,W14 8LA,F,N,L,129,,OAKWOOD COURT,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4EE409F5-52E2-42E2-B4D2-AE0160BCC39B},110000,03/07/1995 00:00,W8 7BL,F,N,L,27,FLAT 4,STAFFORD TERRACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{1CBA971D-545C-4449-8443-7445A65A5030},200000,12/05/1995 00:00,W14 8JY,F,N,L,56,,OAKWOOD COURT,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4CD1863A-5EC5-4DE6-9A91-A6EB2104D7C9},525000,04/05/1995 00:00,W11 3PD,T,N,F,33,,LADBROKE ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{628E0AED-F46D-4981-8A6F-70BAEB517717},69000,03/01/1995 00:00,SW5 9LD,F,N,L,"HUNTER HOUSE, 326 - 342",FLAT 1,OLD BROMPTON ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{05A36931-904D-4A06-955C-841D04D06BAD},137000,09/06/1995 00:00,SW3 5DA,F,N,L,RECTORY CHAMBERS,FLAT B,OLD CHURCH STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
